
   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
     0     1     1  2010     0     1   454   294   205   239

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     1     0     6     3   495   535   473    63     0  8114

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
    15    15    15    15    87    99   108   127  3438    30

   ALT    CT SPEED   DIR S DIR     W    SW INVMI  STAB  DTDZ ECH T     T    ST PRESS

  3050 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   697
  2950 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   705
  2850 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   714
  2750 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   724
  2650 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   733
  2550 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   742
  2450 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   751
  2350 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   761
  2250 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   771
  2150 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   780
  2050 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   790
  1950 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   800
  1850 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   810
  1750 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   820
  1650 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   830
  1550 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   840
  1450 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   851
  1350 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   861
  1250 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   872
  1150 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   882
  1050   198   812    44     7    47    55 -9999     3   -11 -9999   207 -9999   893
   950   220   774    41     7    44    49 -9999     3   -10 -9999   219 -9999   904
   850   312   708    35     7    19    52 -9999     3    -8 -9999   230 -9999   915
   750   473   722    39     8   -23    64 -9999     3    -6 -9999   240 -9999   926
   650   715   725    42     6   -10    38 -9999     3     4 -9999   248 -9999   938
   550   904   694    42     6    -1    25   550     3    16 -9999   248 -9999   949
   450  1040   651    43     7     2    27   450     3    19  2001   245    36   960
   350   893   578    50     8     5    28   350     3    14  2239   249    70   972
   250   845   553    54     8     5    28   250     3    12  2937   243    84   984
   150   898   555    47     7     2    26   420     3    15 15276   225    55   995
$

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
     0     1     1  2010     5     1   106   211   291   494

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     1     1     2     0   535   493   483    49     0  8114

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
    15    15    15    15    99    99   107   109   340    30

   ALT    CT SPEED   DIR S DIR     W    SW INVMI  STAB  DTDZ ECH T     T    ST PRESS

  3050 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   697
  2950 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   705
  2850 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   714
  2750 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   724
  2650 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   733
  2550 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   742
  2450 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   751
  2350 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   761
  2250 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   771
  2150 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   780
  2050 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   790
  1950 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   800
  1850 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   810
  1750 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   820
  1650 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   830
  1550 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   840
  1450 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   851
  1350 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   861
  1250 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   872
  1150 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   882
  1050   198   810    32     5    -6    32 -9999     2    -9 -9999   209 -9999   893
   950   231   779    32     5   -10    32 -9999     2    -8 -9999   220 -9999   904
   850   281   738    33     5   -12    33 -9999     3    -7 -9999   230 -9999   915
   750   348   743    38     4   -11    34 -9999     2    -5 -9999   239 -9999   926
   650   706   728    41     5    -8    32 -9999     3     6 -9999   247 -9999   938
   550   958   679    41     6    -4    31   550     3    14 -9999   246 -9999   949
   450  1107   656    42     6     0    30   450     3    19  3897   243    66   960
   350   969   625    44     7     0    34   350     3    12  3351   248    70   972
   250   921   614    44     7     0    35   250     3    11  4429   251    71   984
   150   964   578    43     6    -1    33   527     3    13 18941   231    74   995
$

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
